User id,Name,Final grade
534838,Ruby,0.002077533
974936,Jazz,0.001971845
1078524,Noëlle,0.001903352
1152359,Katrina,0.001868305
1208030,Christy,0.001868037
919117,Ashley,0.00175015
936794,Adam,0.001641928
54380,Ran,0.001632743
503559,Jewel,0.001604399
60332,Amy,0.001581767
697960,Selena,0.001551426
432126,Ryan,0.001475
10325,Charles,0.001443322
358530,Sar,0.001416647
372408,Steve,0.001398686
184301,Jean-Philippe,0.000675282
